id,title,genres,original_language,overview,popularity,production_companies,release_date,budget,revenue,runtime,status,tagline,vote_average,vote_count,credits,keywords,poster_path,backdrop_path,recommendations
576121,Total Dhamaal,Comedy-Adventure-Action,hi,Con-artists Guddu and Johnny a bickering couple Avinash and Bindu who are on a verge of divorce a fireman Lallan and his side-kick siblings Adi and Manav and a cunning police commissioner set out on a mad chase for a hidden booty of Rs 50 crores in a zoo in Janakpur.,4.231,Maruti International-Reliance Entertainment-Star Studios-Anand Pandit Motion Pictures-Shri Adhikari Brothers-Ajay Devgn FFilms,22-02-2019,0,0,127,Released,The Wildest Adventure Ever!,5.8,32,Ajay Devgn-Anil Kapoor-Madhuri Dixit-Arshad Warsi-Boman Irani-Ritesh Deshmukh-Javed Jaffrey-Sanjay Mishra-Sudesh Lehri-Vijay Patkar-Jackie Shroff-Sonakshi Sinha-Esha Gupta-Mahesh Manjrekar-Pitobash-Manoj Pahwa-Johnny Lever-Ali Basha,money,/tegQNllG9HfRWexDIkK8wMwC6ce.jpg,/vEn9qGeMQazsZ7Hcl2NVw7SqjXI.jpg,20413-373449-496524-348892-534780
358893,Angry Indian Goddesses,Comedy-Drama,hi,Frieda a fashion commercial photographer trying to find her own art gathers her closest girlfriends from all over India to travel to Goa for a surprise announcement: she’s getting married! Thus begins an impromptu bachelorette celebration that lasts for a full week. A riotous roller-coaster ride of girl bonding; friendships break ups make ups passion devastation hesitation terrorization and self realization. Amidst the fun and frenzy heartbreak and heartache passion and obsession youth and innocence secrets tumble out tensions emerge bonds are formed and emotions run high. Soon events will take a more serious turn but for the moment these women are determined to seize the day.,4.229,One Two Films-Jungle Book Entertainment-Protein Entertainment,18-09-2015,0,0,115,Released,Angels. Lovers. Victims. Killers. Buddies... Women.,6.9,39,Sarah-Jane Dias-Rajshri Deshpande-Sandhya Mridul-Amy Maghera-Pavleen Gujral-Tannishtha Chatterjee-Anushka Manchanda-Jeffrey Goldberg-Arjun Mathur-Anuj Choudhry-Adil Hussain-Vikram Kochhar,photographer-female friendship-rape and murder-india-policeman-bachelorette party,/qn7kTThiHtZHp7CAdpGSS9ik4ly.jpg,/9vtBUoRL3YxzPqiqkugPmoZSlxi.jpg,
610482,Agent Sai Srinivasa Athreya,Crime-Comedy-Mystery,te,Agent Sai Srinivasa Athreya is a brilliant underrated detective from Nellore who runs an agency called FBI which sees no business. He gets more than what he asked for when a case happens to fall right into his lap out of nowhere.,4.225,Swadharm Entertainment,21-06-2019,0,0,144,Released,"Sherlock Holmes is Fiction , Agent Sai Srinivasa Athreya is Original",7.6,37,Naveen Polishetty-Shruti Sharma-Suhas-Krishneswara Rao-Shredha Rajagopalan-Darbha Appaji Ambarisha-Ram Dutt-Divya Vineeth,detective agency,/jMVfhhWfHLawVp3kd55KBy3VBsW.jpg,/s7QvyLoxJ1PWMGasGpqluQqhUT9.jpg,13363-459719-607145-665133-634120-432011-11322-614934-766507-438148
325699,Temper,Action-Drama-Crime,te,Daya a corrupt police officer finds his life changing when he takes on a case of gang rape.,4.221,Parameswara Art Productions,13-02-2015,5400000,11600000,147,Released,,6.7,20,N.T. Rama Rao Jr.-Kajal Agarwal-Prakash Raj-Posani Krishna Murali-Kovai Sarala-Kota Srinivasa Rao-Tanikella Bharani-Subbaraju-Jayaprakash Reddy-Ali Basha-Sonia Agarwal-Nyra Banerjee-Rama Prabha-Nora Fatehi-Saptagiri-Temper Vamsi-Mukhtar Khan,corruption-anti hero-dirty cop-gang rape-corrupt official,/vRfSEFM9waphZKoa3ALTZCUYb2F.jpg,/hFybK0MfGhHkkavMLV5AdDr7umO.jpg,23790-181882-101736-353533-365187-333876-253533-148265-564147-350312-34763-263471-215248-56981-299537-100402-99861-299534-475557-299536-155
392222,1920 London,Horror,hi,Shivangi (Meera Chopra) lives in London with her husband Veer Singh. One day he receives a gift from Rajasthan. From then strange things happen with Veer and his condition deteriorates.,4.218,Reliance Entertainment,06-05-2016,0,0,120,Released,Fear strikes again.,4.4,40,Sharman Joshi-Meera Chopra-Vishal Karwal,,/rs4RBiOX8qoUG5bw1SlGFuzUYws.jpg,/4GuJWuQMbiwMNrYahghOsRpEo8t.jpg,
541495,The Man Who Feels No Pain,Action-Comedy,hi,Leveraging his ability to withstand pain a young man trains to follow in the footsteps of his martial arts hero.,4.218,RSVP Movies,21-03-2019,0,0,136,Released,,6.3,43,Abhimanyu Dasani-Radhika Madan-Mahesh Manjrekar-Jimit Trivedi-Gulshan Devaiah-Shweta Basu Prasad-Riva Arora-Elena Kazan-Loveleen Mishra-Ratheesh Balakrishnan Poduval,,/x5E2DktEkuP3JzBxk31Iyztokv0.jpg,/hLZVTMKR2KUOEdc23vsx82PJibW.jpg,149
54892,Ramayana: The Epic,Animation,hi,The film is a retelling of the story of Lord Rama from his birth until his battle with Ravan at Sri Lanka.,4.217,Maya Digital Media,15-10-2010,0,0,98,Released,,6.3,5,Manoj Bajpayee-Juhi Chawla-Ashutosh Rana-Mukesh Rishi,hindu mythology,/EstUHlW8QUDSjMMpkNXaEsxPZ7.jpg,,
645998,House Arrest,Comedy,hi,A world-weary man’s self-imposed home confinement becomes a comedy of errors with the simultaneous arrivals of a peculiar package and a curious journalist.,4.217,India Stories,15-11-2019,0,0,104,Released,,6.4,8,Ali Fazal-Shriya Pilgaonkar-Jim Sarbh-Barkha Singh-Sunil Kumar,,/7nOW9lqY29iomfDlTmvGoW5adqz.jpg,/r5kRuUAGwCB4Hb5qJPaJahEnMCz.jpg,
569594,Bharat,Drama-Action,hi,At the cusp of India's birth as an Independent nation a family makes an arduous journey to freedom at a cost. A young boy Bharat makes a promise to his Father that he will keep his family together no matter what.,4.191,T-Series-Reel Life Productions-Salman Khan Films,05-06-2019,0,0,155,Released,,6.7,44,Salman Khan-Katrina Kaif-Disha Patani-Jackie Shroff-Shashank Arora-Kashmira Irani-Nora Fatehi-Sunil Grover-Aashif Sheikh-Ayesha Raza-Tabu-R. Bhakti Klein-Edwin De La Renta-Ivan Rodrigues-Manav Vij-Atul Srivastava-Sajid Kabir-Brian Nathan-Anant Vidhaat Sharma-Laxman Singh Rajput-Abhishek Khanna-Jaspal Sharma-Christian Mandel-Riva Arora-Rajiv Gupta,,/aawdjzVsfKvRRIFu9Ni74wZyjc8.jpg,/1CpOFqgxOFOL2MxTWcIRfg6axy4.jpg,643534-496339-577328-596650-498448-585268-599598-597089-594669-352173-611594-20453-581361-320288-512200-299537-420817
566914,F2: Fun and Frustration,Comedy,te,After Venky Varun also gets married thinking he can keep the wife in control but both of them gets frustrated with the marital life which generates fun.,4.19,Sri Venkateswara Creations,12-01-2019,0,0,148,Released,,5.3,21,Venkatesh-Varun Tej-Tamannaah Bhatia-Mehreen Pirzada-Priyadarshi Pullikonda-Rajendra Prasad-Prakash Raj-Nassar-Vennela Kishore-Prudhviraj-Subbaraju-Brahmaji-Raghu Babu-Satyam Rajesh-Srinivasa Reddy-Anasuya Bharadwaj-Jhansi-Pragathi Mahavadi-Easwari Rao-Hari Teja-Annapoorna-Y. Vijaya-Mirchi Kiran-Chiintu Chakravarthii-Vadlamani Srinivas,,/cuIiSZSPr7ioJJM5N0WZqSYLnJF.jpg,/sHYfo3zwrhcU8dybk0IwM8Qck9p.jpg,
